"","row","value","size","sizeclass","is_hacked","es"
"195",18,0.6696,"Small","S","FALSE",0.8
"196",18,0.9996,"Small","S","TRUE",0.8
"197",18,0.9776,"Large","M","FALSE",0.8
"198",18,1,"Large","M","TRUE",0.8
"199",18,0.9184,"Small","M","FALSE",0.8
"200",18,1,"Small","M","TRUE",0.8
"201",18,0.9998,"Large","L","FALSE",0.8
"202",18,1,"Large","L","TRUE",0.8
"203",18,0.9958,"Small","L","FALSE",0.8
"204",18,1,"Small","L","TRUE",0.8
"205",19,0.835,"Large","S","FALSE",0.85
"206",19,0.9918,"Large","S","TRUE",0.85
"207",19,0.7202,"Small","S","FALSE",0.85
"208",19,1,"Small","S","TRUE",0.85
"209",19,0.988,"Large","M","FALSE",0.85
"210",19,1,"Large","M","TRUE",0.85
"211",19,0.9464,"Small","M","FALSE",0.85
"212",19,1,"Small","M","TRUE",0.85
"213",19,1,"Large","L","FALSE",0.85
"214",19,1,"Large","L","TRUE",0.85
"215",19,0.9986,"Small","L","FALSE",0.85
"216",19,1,"Small","L","TRUE",0.85
"217",20,0.8692,"Large","S","FALSE",0.9
"218",20,0.9956,"Large","S","TRUE",0.9
"219",20,0.7456,"Small","S","FALSE",0.9
"220",20,1,"Small","S","TRUE",0.9
"221",20,0.9938,"Large","M","FALSE",0.9
"222",20,1,"Large","M","TRUE",0.9
"223",20,0.9618,"Small","M","FALSE",0.9
"224",20,1,"Small","M","TRUE",0.9
"225",20,1,"Large","L","FALSE",0.9
"226",20,1,"Large","L","TRUE",0.9
"227",20,1,"Small","L","FALSE",0.9
"228",20,1,"Small","L","TRUE",0.9
"229",21,0.905,"Large","S","FALSE",0.95
"230",21,0.9972,"Large","S","TRUE",0.95
"231",21,0.7792,"Small","S","FALSE",0.95
"232",21,1,"Small","S","TRUE",0.95
"233",21,0.9978,"Large","M","FALSE",0.95
"234",21,1,"Large","M","TRUE",0.95
"235",21,0.9742,"Small","M","FALSE",0.95
"236",21,1,"Small","M","TRUE",0.95
"237",21,1,"Large","L","FALSE",0.95
"238",21,1,"Large","L","TRUE",0.95
"239",21,1,"Small","L","FALSE",0.95
"240",21,1,"Small","L","TRUE",0.95
"241",22,0.9332,"Large","S","FALSE",1
"242",22,0.998,"Large","S","TRUE",1
"243",22,0.811,"Small","S","FALSE",1
"244",22,1,"Small","S","TRUE",1
"245",22,0.999,"Large","M","FALSE",1
"246",22,1,"Large","M","TRUE",1
"247",22,0.981,"Small","M","FALSE",1
"248",22,1,"Small","M","TRUE",1
"249",22,1,"Large","L","FALSE",1
"250",22,1,"Large","L","TRUE",1
"251",22,0.9996,"Small","L","FALSE",1
"252",22,1,"Small","L","TRUE",1
