"tmean","tnobs","n_reps","alpha","sizeclass","research_strategy","test_strategy","is_hacked","sigmean","mean_nobs","mean_eff","mean_eff_diff","mean_pvalue","size",".groups"
0.5,"5",4,0.005,"S","DefaultResearchStrategy","TTest","1",0.622,13.354,1.3619200628,0.8619200628,0.0102676468,"Small","drop"
0.95,"25",2,5e-04,"S","DefaultResearchStrategy","TTest","0",0.3802,25,0.9706963232,0.0206963231999999,0.0191591834,"Large","drop"
0.05,"100",4,0.05,"L","DefaultResearchStrategy","TTest","1",0.1964,104.435,0.1491129442,0.0991129442,0.3420264704,"Large","drop"
0.4,"100",4,5e-04,"L","DefaultResearchStrategy","TTest","0",0.2402,100,0.4023704454,0.00237044539999998,0.0443750786,"Large","drop"
0.8,"50",4,5e-04,"M","DefaultResearchStrategy","TTest","0",0.6628,50,0.8104105914,0.0104105914,0.0053599892,"Large","drop"
1,"5",3,0.05,"S","DefaultResearchStrategy","TTest","0",0.629,5,1.721952973,0.721952973,0.0662582864,"Small","drop"
0.65,"50",3,5e-04,"M","DefaultResearchStrategy","TTest","0",0.377324535092981,50,0.657190890021996,0.00719089002199558,0.0209460297940412,"Large","drop"
0.4,"50",1,0.05,"M","DefaultResearchStrategy","TTest","1",0.8484,52.449,0.488170371,0.088170371,0.0430647816,"Large","drop"
0.75,"50",4,0.05,"M","DefaultResearchStrategy","TTest","1",0.9982,50.0818,0.767110259,0.017110259,0.0034736036,"Large","drop"
0,"5",4,0.005,"S","DefaultResearchStrategy","TTest","1",0.0802,11.2654,0.9369017094,0.9369017094,0.1222605194,"Small","drop"
0.55,"5",1,5e-04,"S","DefaultResearchStrategy","TTest","0",0.0016,5,0.6051442532,0.0551442531999999,0.4002432218,"Small","drop"
0.45,"20",4,0.005,"L","DefaultResearchStrategy","TTest","1",0.8404,26.4378,0.908363303,0.458363303,0.0043644332,"Small","drop"
0.3,"20",2,5e-04,"L","DefaultResearchStrategy","TTest","1",0.1096,27.2344,0.7031738308,0.4031738308,0.0520564374,"Small","drop"
0,"100",1,0.05,"L","DefaultResearchStrategy","TTest","1",0.108,104.4256,0.0973714248,0.0973714248,0.4273272334,"Large","drop"
