"","value","col_code","sizeclass","size","is_hacked","es"
"100",0.00215824931793107,6,"M","Large",FALSE,0.7
"101",0.00390558969094912,6,"M","Large",FALSE,0.75
"102",0.00488120295403294,6,"M","Large",FALSE,0.8
"103",0.00327120213968524,6,"M","Large",FALSE,0.85
"104",0.0077333522824633,6,"M","Large",FALSE,0.9
"105",0.00926682354072306,6,"M","Large",FALSE,0.95
"106",0.0102232099656057,6,"M","Large",FALSE,1
"107",0.125815011161879,7,"M","Large",TRUE,0
"108",0.125907327113115,7,"M","Large",TRUE,0.05
"109",0.125701711719777,7,"M","Large",TRUE,0.1
"110",0.121312897355243,7,"M","Large",TRUE,0.15
"111",0.12305845630458,7,"M","Large",TRUE,0.2
"112",0.11500208720326,7,"M","Large",TRUE,0.25
"113",0.109666146003372,7,"M","Large",TRUE,0.3
"114",0.100725457163005,7,"M","Large",TRUE,0.35
"115",0.0886648029415956,7,"M","Large",TRUE,0.4
"116",0.0710742802530873,7,"M","Large",TRUE,0.45
"117",0.0598491127682833,7,"M","Large",TRUE,0.5
"118",0.0465836501218587,7,"M","Large",TRUE,0.55
"119",0.0364181014578986,7,"M","Large",TRUE,0.6
"120",0.0264705236401781,7,"M","Large",TRUE,0.65
"121",0.0169671666630363,7,"M","Large",TRUE,0.7
"122",0.0140801465236831,7,"M","Large",TRUE,0.75
"123",0.0106005396084013,7,"M","Large",TRUE,0.8
"124",0.0071279561330464,7,"M","Large",TRUE,0.85
"125",0.00910603573691537,7,"M","Large",TRUE,0.9
"126",0.0104124496946164,7,"M","Large",TRUE,0.95
"127",0.0106847317294883,7,"M","Large",TRUE,1
"128",0.550164602300512,8,"M","Small",FALSE,0
"129",0.55253757940571,8,"M","Small",FALSE,0.05
"130",0.551549700167013,8,"M","Small",FALSE,0.1
"131",0.565572040165387,8,"M","Small",FALSE,0.15
"132",0.560068039836101,8,"M","Small",FALSE,0.2
"133",0.56009197431536,8,"M","Small",FALSE,0.25
